Level_Name "Technology Demo Tutorial"
Level_Blurb "ALPHA"
Level_CSV_Filename "Demo.csv"
Level_TilesetName "Dirt"
Level_TunnelStartTopLeftX "0"
Level_TunnelStartTopLeftY "0"
Level_Start_AvatarX "448"
Level_Start_AvatarY "-448"
Level_Start_AvatarState "Standing"
Level_EndCondition_ID "1"
Level_EndCondition_IsAnd "False"
Level_EndCondition_IsOr "True"
Level_EndCondition_NoOfConditions "1"
Level_EndCondition_Type "State"
Level_EndCondition_WhenAvatarState "Death_"
Level_EndCondition_WhenAvatarStateComplete "True"
Level_EndCondition_WhenAvatarDirection "Right"
Level_EndCondition_NextLevel "QUIT"
