Tileset_Name "Blue_Cave"
Tileset_Type "Tileset"
Tileset_FileName "Blue_Cave_Tileset_2.png"
Tileset_TopLeftX "0"
Tileset_TopLeftY "0"
Tileset_SizeX "1188"
Tileset_SizeY "1584"
Tileset_NumOfSubSets "22"
  SubSet_Name "Middleground"
  SubSet_Type "Middleground"
  SubSet_TopLeftX "0"
  SubSet_TopLeftY "0"
  SubSet_TopLeftXOffset "4"
  SubSet_TopLeftYOffset "4"
  SubSet_SizeX "132"
  SubSet_SizeY "132"
  SubSet_NumOfLines "1"
    Line_Name "1"
    Line_TopLeftX "0"
    Line_TopLeftY "0"
    Tile_SizeX "128"
    Tile_SizeY "128"
    Line_NumOfTiles "1"
  SubSet_Name "Middleground"
  SubSet_Type "Floor"
  SubSet_TopLeftX "0"
  SubSet_TopLeftY "132"
  SubSet_TopLeftXOffset "4"
  SubSet_TopLeftYOffset "4"
  SubSet_SizeX "528"
  SubSet_SizeY "132"
  SubSet_NumOfLines "1"
    Line_Name "1"
    Line_TopLeftX "0"
    Line_TopLeftY "132"
    Tile_SizeX "128"
    Tile_SizeY "128"
    Line_NumOfTiles "4"
  SubSet_Name "Middleground"
  SubSet_Type "Roof"
  SubSet_TopLeftX "660"
  SubSet_TopLeftY "132"
  SubSet_TopLeftXOffset "4"
  SubSet_TopLeftYOffset "4"
  SubSet_SizeX "528"
  SubSet_SizeY "132"
  SubSet_NumOfLines "1"
    Line_Name "1"
    Line_TopLeftX "660"
    Line_TopLeftY "132"
    Tile_SizeX "128"
    Tile_SizeY "128"
    Line_NumOfTiles "4"
  SubSet_Name "Middleground"
  SubSet_Type "Left Wall"
  SubSet_TopLeftX "0"
  SubSet_TopLeftY "264"
  SubSet_TopLeftXOffset "4"
  SubSet_TopLeftYOffset "4"
  SubSet_SizeX "528"
  SubSet_SizeY "132"
  SubSet_NumOfLines "1"
    Line_Name "1"
    Line_TopLeftX "0"
    Line_TopLeftY "264"
    Tile_SizeX "128"
    Tile_SizeY "128"
    Line_NumOfTiles "4"
  SubSet_Name "Middleground"
  SubSet_Type "Right Wall"
  SubSet_TopLeftX "660"
  SubSet_TopLeftY "264"
  SubSet_TopLeftXOffset "4"
  SubSet_TopLeftYOffset "4"
  SubSet_SizeX "528"
  SubSet_SizeY "132"
  SubSet_NumOfLines "1"
    Line_Name "1"
    Line_TopLeftX "660"
    Line_TopLeftY "264"
    Tile_SizeX "128"
    Tile_SizeY "128"
    Line_NumOfTiles "4"
  SubSet_Name "Cave Middleground"
  SubSet_Type "Roof and Right Wall"
  SubSet_TopLeftX "0"
  SubSet_TopLeftY "396"
  SubSet_TopLeftXOffset "4"
  SubSet_TopLeftYOffset "4"
  SubSet_SizeX "528"
  SubSet_SizeY "132"
  SubSet_NumOfLines "1"
    Line_Name "1"
    Line_TopLeftX "0"
    Line_TopLeftY "396"
    Tile_SizeX "128"
    Tile_SizeY "128"
    Line_NumOfTiles "4"
