Tileset_Name "Charlie_Climbing"
Tileset_Type "Animation"
Tileset_FileName "Charlie_Climbing_Animation_Tileset.png"
Tileset_TopLeftX "0"
Tileset_TopLeftY "0"
Tileset_SizeX "768"
Tileset_SizeY "1024"
Tileset_NumOfSubSets "7"
  SubSet_Name "Hanging"
  SubSet_Type "Animation"
  SubSet_TopLeftX "0"
  SubSet_TopLeftY "0"
  SubSet_SizeX "128"
  SubSet_SizeY "128"
  SubSet_Tile_SizeX "128"
  SubSet_Tile_SizeY "128"
  SubSet_NumOfFrames "1"
  SubSet_FramesPerSecond "12"  
  SubSet_Repeating "Y"
    Frame_ID "1"
    Frame_CollisionBlock_NumOfBlocks "4"
    Frame_CollisionBlock_ID "Right_Foot"
    Frame_CollisionBlock_TopLeftX "72"
    Frame_CollisionBlock_TopLeftY "-72"
    Frame_CollisionBlock_SizeX "12"
    Frame_CollisionBlock_SizeY "12"
    Frame_CollisionBlock_Contact "Y"
    Frame_CollisionBlock_ID "Left_Foot"
    Frame_CollisionBlock_TopLeftX "72"
    Frame_CollisionBlock_TopLeftY "-72"
    Frame_CollisionBlock_SizeX "12"
    Frame_CollisionBlock_SizeY "12"
    Frame_CollisionBlock_Contact "Y"
    Frame_CollisionBlock_ID "Avatar"
    Frame_CollisionBlock_TopLeftX "28"
    Frame_CollisionBlock_TopLeftY "-0"
    Frame_CollisionBlock_SizeX "60"
    Frame_CollisionBlock_SizeY "84"
    Frame_CollisionBlock_Contact "Y"
    Frame_CollisionBlock_ID "Hand"
    Frame_CollisionBlock_TopLeftX "80"
    Frame_CollisionBlock_TopLeftY "-4"
    Frame_CollisionBlock_SizeX "8"
    Frame_CollisionBlock_SizeY "8"
    Frame_CollisionBlock_Contact "Y"
  SubSet_Name "Climbing_1"
  SubSet_Type "Animation"
  SubSet_TopLeftX "0"
  SubSet_TopLeftY "-128"
  SubSet_SizeX "768"
  SubSet_SizeY "128"
  SubSet_Tile_SizeX "128"
  SubSet_Tile_SizeY "128"
  SubSet_NumOfFrames "6"
  SubSet_FramesPerSecond "22"  
  SubSet_Repeating "N"
    Frame_ID "1"
    Frame_CollisionBlock_NumOfBlocks "4"
    Frame_CollisionBlock_ID "Right_Foot"
    Frame_CollisionBlock_TopLeftX "76"
    Frame_CollisionBlock_TopLeftY "-216"
    Frame_CollisionBlock_SizeX "12"
    Frame_CollisionBlock_SizeY "12"
    Frame_CollisionBlock_Contact "Y"
    Frame_CollisionBlock_ID "Left_Foot"
    Frame_CollisionBlock_TopLeftX "76"
    Frame_CollisionBlock_TopLeftY "-232"
    Frame_CollisionBlock_SizeX "12"
    Frame_CollisionBlock_SizeY "12"
    Frame_CollisionBlock_Contact "Y"
    Frame_CollisionBlock_ID "Avatar"
    Frame_CollisionBlock_TopLeftX "36"
    Frame_CollisionBlock_TopLeftY "-160"
    Frame_CollisionBlock_SizeX "56"
    Frame_CollisionBlock_SizeY "84"
    Frame_CollisionBlock_Contact "Y"
    Frame_CollisionBlock_ID "Hand"
