Tileset_Name "Charlie_Falling"
Tileset_Type "Animation"
Tileset_FileName "Charlie_Falling_Animation_Tileset_0_1.dds"
Tileset_TopLeftX "0"
Tileset_TopLeftY "0"
Tileset_SizeX "2048"
Tileset_SizeY "256"
Tileset_NumOfSubSets "1"
  SubSet_Name "Falling"
  SubSet_Type "Animation"
  SubSet_TopLeftX "0"
  SubSet_TopLeftY "0"
  SubSet_SizeX "128"
  SubSet_SizeY "128"
  SubSet_Tile_SizeX "128"
  SubSet_Tile_SizeY "128"
  SubSet_NumOfFrames "1"
  SubSet_FramesPerSecond "12"  
  SubSet_Repeating "Y"
    Frame_ID "1"
    Frame_CollisionBlock_NumOfBlocks "2"
    Frame_CollisionBlock_ID "Right_Foot"
    Frame_CollisionBlock_TopLeftX "64"
    Frame_CollisionBlock_TopLeftY "-104"
    Frame_CollisionBlock_SizeX "16"
    Frame_CollisionBlock_SizeY "8"
    Frame_CollisionBlock_Contact "Y"
    Frame_CollisionBlock_ID "Left_Foot"
    Frame_CollisionBlock_TopLeftX "64"
    Frame_CollisionBlock_TopLeftY "-104"
    Frame_CollisionBlock_SizeX "16"
    Frame_CollisionBlock_SizeY "8"
    Frame_CollisionBlock_Contact "Y"
